Time_days,PBAT_pct,PLA_pct,Recyclable Materials,Additive Type,Color,Thickness_um,Roughness,Area_mm2,UV,Precipitation_mm,Temperature_C,Humidity,Soil_TN_mgkg,Soil_OC_gkg,Soil_pH,Fertilizer,Target_WVTR
NA,30,70,NA,4,NA,NA,NA,NA,NA,NA,38,90,NA,NA,NA,NA,1001
NA,30,70,NA,4,NA,NA,NA,NA,NA,NA,38,90,NA,NA,NA,NA,1261
0,100,0,0,NA,2,NA,2,NA,0,0,38,90,NA,NA,NA,NA,462.5
15,90,0,10,NA,2,NA,3,NA,82226.21233,1.547492575,38,90,NA,NA,NA,NA,300.83
30,80,0,20,NA,2,NA,3,NA,160007.3408,2.121224068,38,90,NA,NA,NA,NA,211.41
45,70,0,30,NA,2,NA,3,NA,214081.914,11.30947843,38,90,NA,NA,NA,NA,191.93
60,60,0,40,NA,2,NA,3,NA,261610.7427,13.45226681,38,90,NA,NA,NA,NA,179.47
NA,100,0,NA,NA,NA,NA,NA,314,NA,NA,38,90,NA,NA,NA,NA,34.13446272
NA,70,0,NA,2,NA,NA,NA,314,NA,NA,38,90,NA,NA,NA,NA,23.195808
NA,69.6,0,0.4,2,NA,NA,NA,314,NA,NA,38,90,NA,NA,NA,NA,23.3585856
NA,68.6,0,0.4,2,NA,NA,NA,314,NA,NA,38,90,NA,NA,NA,NA,20.81382912
NA,78.6,0,0.4,2,NA,NA,NA,314,NA,NA,38,90,NA,NA,NA,NA,21.63314304
NA,58.6,0,0.4,2,NA,NA,NA,314,NA,NA,38,90,NA,NA,NA,NA,19.95110784
NA,0,100,NA,3,2,NA,2,314,NA,NA,38,90,NA,NA,NA,NA,21.29131008
NA,0,95,NA,3,2,NA,3,314,NA,NA,38,90,NA,NA,NA,NA,17.1459072
NA,0,90,NA,3,2,NA,3,314,NA,NA,38,90,NA,NA,NA,NA,16.28318592
NA,0,80,NA,3,3,NA,3,314,NA,NA,38,90,NA,NA,NA,NA,11.43241344
NA,0,95,NA,3,2,NA,3,314,NA,NA,38,90,NA,NA,NA,NA,12.75633792
NA,0,95,NA,3,2,NA,3,314,NA,NA,38,90,NA,NA,NA,NA,12.22459776
NA,0,95,NA,3,2,NA,3,314,NA,NA,38,90,NA,NA,NA,NA,12.92996736
NA,90,10,NA,NA,NA,NA,NA,5000,NA,NA,30,90,NA,NA,NA,NA,42.52293504
NA,90,10,NA,1,NA,NA,NA,5000,NA,NA,30,90,NA,NA,NA,NA,42.79423104
NA,90,10,NA,NA,NA,NA,NA,5000,NA,NA,30,90,NA,NA,NA,NA,33.97711104
NA,90,10,NA,4,NA,NA,NA,5000,NA,NA,30,90,NA,NA,NA,NA,78.52391424
NA,90,10,NA,4,NA,NA,NA,5000,NA,NA,30,90,NA,NA,NA,NA,28.71396864
NA,90,10,NA,4,NA,NA,NA,5000,NA,NA,30,90,NA,NA,NA,NA,35.31188736
NA,90,10,NA,4,NA,NA,NA,5000,NA,NA,30,90,NA,NA,NA,NA,88.985088
NA,90,10,NA,4,NA,NA,NA,5000,NA,NA,30,90,NA,NA,NA,NA,62.69107968
NA,90,10,NA,4,NA,NA,NA,5000,NA,NA,30,90,NA,NA,NA,NA,51.58964736
NA,90,10,NA,4,NA,NA,NA,5000,NA,NA,30,90,NA,NA,NA,NA,53.88481152
NA,90,10,NA,NA,NA,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,69.70679424
NA,90,10,NA,1,NA,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,69.97266432
NA,90,10,NA,4,NA,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,69.65253504
NA,90,10,NA,4,NA,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,88.75177344
NA,90,10,NA,4,NA,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,89.56023552
NA,90,10,NA,4,NA,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,90.39040128
NA,90,10,NA,4,NA,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,76.8581568
NA,90,10,NA,4,NA,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,83.59172352
NA,90,10,NA,4,NA,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,89.73929088
NA,90,10,NA,4,NA,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,73.41812352
NA,0,100,NA,NA,2,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,129.6
NA,5,95,NA,NA,2,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,146.39616
NA,10,90,NA,NA,2,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,163.19232
NA,15,85,NA,NA,2,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,180.00576
NA,10,90,NA,2,2,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,132.84864
NA,10,90,NA,6,2,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,125.21088
NA,10,90,NA,1,2,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,116.34624
NA,10,90,NA,1,2,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,90.25344
NA,10,90,NA,1,2,NA,NA,5000,NA,NA,38,90,NA,NA,NA,NA,83.85984
1,79.2,19.8,0,5,2,40,1,81000,NA,NA,38,10,NA,NA,NA,NA,612.31
1,71.2,17.8,10,5,2,40,1,81000,NA,NA,38,10,NA,NA,NA,NA,728.31
1,63.2,15.8,20,5,2,40,2,81000,NA,NA,38,10,NA,NA,NA,NA,843.69
1,55.2,13.8,30,5,2,40,2,81000,NA,NA,38,10,NA,NA,NA,NA,959.67
1,47.2,11.8,40,5,2,40,3,81000,NA,NA,38,10,NA,NA,NA,NA,1075.35
1,0,0,NA,NA,2,127,1,10400,NA,NA,38,100,NA,NA,NA,NA,37.7
